,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
517,517,0.061,94.0,36,Caldera IPA,American IPA,155,12.0
518,518,0.05,,2257,Remain in Light,American Pilsner,178,12.0
519,519,0.065,,2256,Flower Child (2014),American IPA,178,12.0
520,520,,,870,THP White (2006),Witbier,497,12.0
521,521,,,869,THP Amber (2006),American Amber / Red Ale,497,12.0
522,522,,,868,THP Light (2006),American Blonde Ale,497,12.0
523,523,,,867,THP Dark (2006),English Dark Mild Ale,497,12.0
524,524,0.099,43.0,2068,Imperial Pumpkin Stout,Pumpkin Ale,230,16.0
525,525,0.09,130.0,2067,Dead-Eye DIPA,American Double / Imperial IPA,230,16.0
526,526,0.055,64.0,2066,Fisherman's IPA,American IPA,230,12.0
527,527,0.054,35.0,2065,Fisherman's Pils,German Pilsener,230,12.0
528,528,0.055,30.0,2064,Fisherman's Brew,American Amber / Red Ale,230,12.0
529,529,0.055,35.0,1928,Cape Cod Red,American Amber / Red Ale,267,16.0
530,530,0.049,10.0,1927,Beach Blonde,American Blonde Ale,267,16.0
531,531,0.065,80.0,2227,Dark Voyage Black IPA (2013),American Black Ale,192,12.0
532,532,0.052,28.0,2226,Wisconsin Amber,Vienna Lager,192,12.0
533,533,0.046,18.0,2225,Lake House,Munich Helles Lager,192,12.0
534,534,0.0559999999999999,55.0,1954,Ghost Ship White IPA,American IPA,192,12.0
535,535,0.046,18.0,1910,Lake House,Munich Helles Lager,192,16.0
536,536,0.062,70.0,1177,Mutiny IPA,American IPA,192,12.0
537,537,0.052,,840,Wisconsin Amber (1998),Vienna Lager,192,12.0
538,538,0.042,,180,Island Wheat,American Pale Wheat Ale,192,12.0
539,539,0.052,,63,Wisconsin Amber (2013),Vienna Lager,192,12.0
540,540,0.05,,62,U.S. Pale Ale,American Pale Ale (APA),192,12.0
541,541,,,61,Supper Club Lager,American Pale Lager,192,12.0
542,542,0.04,,784,Carolina Lighthouse (2007),American Blonde Ale,504,12.0
